#{"t_start": 1780884500.3209403, "env_id": "None"}
r,l,t,success,completed_targets,collision_count,remaining_battery,done_reason
40.664,12,34.469366,True,2,0,23.0,success
-34.83,35,34.488427,False,0,22,0.0,battery_out
5.41,35,34.504863,False,2,5,0.0,battery_out
42.212,26,35.233161,True,2,1,9.0,success
1.256,48,35.272209,False,2,9,0.0,battery_out
10.024,42,35.306844,False,3,11,0.0,battery_out
-0.79,35,35.335539,False,1,1,0.0,battery_out
-5.54,35,35.372695,False,1,6,0.0,battery_out
5.672,41,35.427402,False,2,6,0.0,battery_out
5.604,42,35.463467,False,2,6,0.0,battery_out
3.238,39,35.492246,False,2,8,0.0,battery_out
-33.026,37,35.522282,False,0,20,0.0,battery_out
11.192,36,35.547874,False,2,0,0.0,battery_out
4.868,39,35.574273,False,2,7,0.0,battery_out
-4.75,35,35.599145,False,1,4,0.0,battery_out
42.412,16,35.610397,True,2,0,19.0,success
19.9,40,35.639681,False,3,3,0.0,battery_out
