#{"t_start": 1780881969.2482378, "env_id": "None"}
r,l,t,success,completed_targets,collision_count,remaining_battery,done_reason
29.76,24,48.988235,True,1,0,76.0,success
28.73,27,49.012333,True,1,1,73.0,success
29.76,24,49.032214,True,1,0,76.0,success
29.76,24,50.114282,True,1,0,76.0,success
29.76,24,50.14321,True,1,0,76.0,success
29.74,26,50.187664,True,1,0,74.0,success
29.76,24,50.225699,True,1,0,76.0,success
29.76,24,50.252992,True,1,0,76.0,success
29.76,24,50.295201,True,1,0,76.0,success
29.76,24,50.341179,True,1,0,76.0,success
29.75,25,50.375547,True,1,0,75.0,success
29.75,25,50.416859,True,1,0,75.0,success
29.75,25,50.457622,True,1,0,75.0,success
29.76,24,50.498875,True,1,0,76.0,success
27.72,28,50.539889,True,1,2,72.0,success
29.75,25,50.574227,True,1,0,75.0,success
29.76,24,50.610175,True,1,0,76.0,success
29.76,24,50.642389,True,1,0,76.0,success
29.76,24,50.676929,True,1,0,76.0,success
29.76,24,50.71337,True,1,0,76.0,success
28.7,30,50.751541,True,1,1,70.0,success
29.76,24,50.772084,True,1,0,76.0,success
29.74,26,50.796549,True,1,0,74.0,success
28.75,25,50.816088,True,1,1,75.0,success
29.76,24,50.845221,True,1,0,76.0,success
29.76,24,50.871247,True,1,0,76.0,success
29.76,24,50.902578,True,1,0,76.0,success
29.75,25,50.924864,True,1,0,75.0,success
29.76,24,50.944247,True,1,0,76.0,success
29.76,24,50.968127,True,1,0,76.0,success
29.76,24,50.988046,True,1,0,76.0,success
29.76,24,51.006281,True,1,0,76.0,success
29.75,25,51.024915,True,1,0,75.0,success
29.76,24,51.042608,True,1,0,76.0,success
29.75,25,51.063974,True,1,0,75.0,success
29.76,24,51.080892,True,1,0,76.0,success
28.75,25,51.101054,True,1,1,75.0,success
29.75,25,51.119627,True,1,0,75.0,success
29.73,27,51.142575,True,1,0,73.0,success
29.75,25,51.163122,True,1,0,75.0,success
29.76,24,51.181298,True,1,0,76.0,success
29.76,24,51.199054,True,1,0,76.0,success
29.76,24,51.215883,True,1,0,76.0,success
29.76,24,51.232425,True,1,0,76.0,success
29.72,28,52.321387,True,1,0,72.0,success
29.76,24,52.360558,True,1,0,76.0,success
29.76,24,52.399583,True,1,0,76.0,success
28.73,27,52.444378,True,1,1,73.0,success
29.68,32,52.489316,True,1,0,68.0,success
29.73,27,52.543398,True,1,0,73.0,success
29.76,24,52.589103,True,1,0,76.0,success
28.75,25,52.636822,True,1,1,75.0,success
29.74,26,52.686908,True,1,0,74.0,success
29.76,24,52.735294,True,1,0,76.0,success
29.76,24,52.786683,True,1,0,76.0,success
29.76,24,52.830281,True,1,0,76.0,success
29.76,24,52.880538,True,1,0,76.0,success
29.76,24,52.926246,True,1,0,76.0,success
29.76,24,52.953172,True,1,0,76.0,success
29.76,24,52.987257,True,1,0,76.0,success
29.76,24,53.023525,True,1,0,76.0,success
29.76,24,53.050249,True,1,0,76.0,success
29.75,25,53.075914,True,1,0,75.0,success
28.73,27,53.104816,True,1,1,73.0,success
29.76,24,53.128583,True,1,0,76.0,success
29.76,24,53.158096,True,1,0,76.0,success
29.74,26,53.367542,True,1,0,74.0,success
28.75,25,53.40238,True,1,1,75.0,success
29.76,24,53.421284,True,1,0,76.0,success
29.76,24,53.437839,True,1,0,76.0,success
29.74,26,53.459592,True,1,0,74.0,success
29.76,24,53.48766,True,1,0,76.0,success
28.73,27,53.511612,True,1,1,73.0,success
29.74,26,53.535692,True,1,0,74.0,success
28.74,26,53.553831,True,1,1,74.0,success
29.76,24,53.579007,True,1,0,76.0,success
29.75,25,53.599347,True,1,0,75.0,success
29.76,24,53.624507,True,1,0,76.0,success
29.75,25,53.650056,True,1,0,75.0,success
29.76,24,53.67061,True,1,0,76.0,success
29.75,25,53.690458,True,1,0,75.0,success
29.76,24,53.708127,True,1,0,76.0,success
29.76,24,53.730989,True,1,0,76.0,success
29.74,26,53.757303,True,1,0,74.0,success
29.76,24,53.77371,True,1,0,76.0,success
29.74,26,54.865273,True,1,0,74.0,success
29.72,28,54.908894,True,1,0,72.0,success
29.76,24,54.942038,True,1,0,76.0,success
29.76,24,54.980366,True,1,0,76.0,success
28.75,25,55.014924,True,1,1,75.0,success
29.73,27,55.058469,True,1,0,73.0,success
29.75,25,55.098727,True,1,0,75.0,success
29.73,27,55.151716,True,1,0,73.0,success
29.76,24,55.196842,True,1,0,76.0,success
29.76,24,55.237238,True,1,0,76.0,success
29.74,26,55.283111,True,1,0,74.0,success
29.76,24,55.315043,True,1,0,76.0,success
29.76,24,55.354372,True,1,0,76.0,success
29.76,24,55.396851,True,1,0,76.0,success
29.75,25,55.440576,True,1,0,75.0,success
29.76,24,55.48181,True,1,0,76.0,success
29.74,26,55.515469,True,1,0,74.0,success
29.76,24,55.54372,True,1,0,76.0,success
29.76,24,55.575717,True,1,0,76.0,success
29.75,25,55.597153,True,1,0,75.0,success
29.76,24,55.625042,True,1,0,76.0,success
29.76,24,55.644449,True,1,0,76.0,success
29.76,24,55.663124,True,1,0,76.0,success
29.76,24,55.681334,True,1,0,76.0,success
29.76,24,55.705982,True,1,0,76.0,success
29.75,25,55.728665,True,1,0,75.0,success
29.76,24,55.756898,True,1,0,76.0,success
29.75,25,55.77512,True,1,0,75.0,success
29.74,26,55.793959,True,1,0,74.0,success
29.75,25,55.812402,True,1,0,75.0,success
29.74,26,55.831428,True,1,0,74.0,success
29.76,24,55.848401,True,1,0,76.0,success
29.73,25,55.865295,True,1,0,75.0,success
28.73,27,55.884148,True,1,1,73.0,success
29.76,24,55.900175,True,1,0,76.0,success
29.74,26,55.915004,True,1,0,74.0,success
29.76,24,55.932943,True,1,0,76.0,success
29.76,24,55.947035,True,1,0,76.0,success
29.76,24,55.962095,True,1,0,76.0,success
29.76,24,55.976334,True,1,0,76.0,success
29.76,24,55.991544,True,1,0,76.0,success
29.74,26,57.042917,True,1,0,74.0,success
29.75,25,57.08251,True,1,0,75.0,success
29.76,24,57.120698,True,1,0,76.0,success
29.76,24,57.158722,True,1,0,76.0,success
29.76,24,57.196325,True,1,0,76.0,success
29.76,24,57.227362,True,1,0,76.0,success
28.75,25,57.268255,True,1,1,75.0,success
28.75,25,57.289865,True,1,1,75.0,success
29.76,24,57.310542,True,1,0,76.0,success
29.76,24,57.33301,True,1,0,76.0,success
29.75,25,57.35432,True,1,0,75.0,success
28.75,25,57.373989,True,1,1,75.0,success
29.75,25,57.392163,True,1,0,75.0,success
29.75,25,57.410242,True,1,0,75.0,success
29.76,24,57.427324,True,1,0,76.0,success
29.76,24,57.446392,True,1,0,76.0,success
29.76,24,57.469417,True,1,0,76.0,success
28.75,25,57.49168,True,1,1,75.0,success
29.76,24,57.510766,True,1,0,76.0,success
29.76,24,57.530557,True,1,0,76.0,success
29.76,24,57.548648,True,1,0,76.0,success
28.73,27,57.568959,True,1,1,73.0,success
29.76,24,57.58599,True,1,0,76.0,success
29.75,25,57.60417,True,1,0,75.0,success
29.76,24,57.623133,True,1,0,76.0,success
29.76,24,57.64315,True,1,0,76.0,success
29.75,25,57.662133,True,1,0,75.0,success
29.76,24,57.681266,True,1,0,76.0,success
